collection_date,scope,raw_title,primary_role,company,company_size,location,geo_tier,work_mode,salary_min_k,salary_max_k,pay_months,annual_min_k,annual_max_k,currency,experience,degree,skills,headcount,posted_updated,active_status,source_type,source_url,dedup_group,tier_35k,confidence,exclusion_reason,eligible_china,timezone,employment_type,priority_score,notes
2026-08-10,local,前端开发工程师,前端开发,美团,"≥10,000",成都武侯区中和,扩展区,现场,25,50,15,375,750,CNY,3-5年,本科,React|TypeScript|大规模Web|性能优化,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-zhonghe-a,可谈档,medium,,,,全职,83,
2026-08-10,local,Web前端技术专家,前端开发,美团,"≥10,000",成都武侯区中和,扩展区,现场,40,70,15,600,1050,CNY,5-10年,本科,React|TypeScript|前端架构|性能优化,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-zhonghe-expert,强匹配档,medium,,,,全职,88,
2026-08-10,local,前端工程师,前端开发,美团,"≥10,000",成都武侯区铁像寺,扩展区,现场,30,40,16,480,640,CNY,3-5年,本科,React|TypeScript|SaaS|工程化,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-tiexiangsi-crm,可谈档,medium,,,,全职,81,
2026-08-10,local,高级Web前端开发工程师,前端开发,美团,"≥10,000",成都武侯区银泰城,扩展区,现场,20,40,16,320,640,CNY,3-5年,本科,React|TypeScript|大规模Web|工程化,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-yintai-platform,可谈档,medium,,,,全职,78,
2026-08-10,local,前端工程师,前端开发,美团,"≥10,000",成都武侯区复城国际广场,扩展区,现场,20,40,12,240,480,CNY,5-10年,本科,React|TypeScript|Web性能,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-fucheng,可谈档,medium,,,,全职,78,
2026-08-10,local,美团闪购高级前端开发工程师,前端开发,美团,"≥10,000",成都武侯区中和,扩展区,现场,40,60,15,600,900,CNY,3-5年,本科,React|TypeScript|小程序|RN|SaaS,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-flash-fe-zhonghe-senior,强匹配档,medium,,,,全职,88,
2026-08-10,local,前端开发工程师,前端开发,美团,"≥10,000",成都武侯区银泰城,扩展区,现场,20,30,15,300,450,CNY,3-5年,本科,React|TypeScript|CRM|工程化,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-yintai-crm,未达35K,medium,,,,全职,75,
2026-08-10,local,Web前端,前端开发,美团,"≥10,000",成都武侯区新会展中心,扩展区,现场,20,40,15,300,600,CNY,3-5年,本科,React|TypeScript|大规模Web|实时系统,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-convention-at-home,可谈档,medium,,,,全职,78,
2026-08-10,local,高级前端开发工程师（营销平台）,前端开发,美团,"≥10,000",成都武侯区中和,扩展区,现场,25,50,15,375,750,CNY,3-5年,硕士,React|TypeScript|营销平台|工具平台,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-zhonghe-marketing,可谈档,medium,,,,全职,83,
2026-08-10,local,前端开发工程师（多端）,前端开发,美团,"≥10,000",成都武侯区新会展中心,扩展区,现场,25,50,15,375,750,CNY,3-5年,本科,H5|小程序|React Native|性能优化,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-convention-multiterminal,可谈档,medium,,,,全职,83,
